id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
1302,beef tripe cooked,80,3.4,1.2,1.4,0.2,1.7,0,10,0,133.5,45,69.4,0,0,38,53,0,0.4,89,0,0,0,0.1,0,68.9,0,0.6,12.8,41,56.1,35.7,10,1.5,84.6
1303,chicken gizzard cooked,223,3.9,1,0.8,0.5,0,0,44.1,0,536.5,69,98.5,0,94,74,95,0.3,4.5,0.7,0.1,0,0,0.3,0,24.7,0.2,4.6,4.4,0.1,274.1,259.6,47,6.4,77.3
1304,pork pancreas cooked,537,26.5,9.1,9.2,5,0,0,69.8,0,771.8,0.1,147.7,0,0.2,86,58,1.6,7.9,11.6,1.1,14,0,0,0,39.2,0.3,6.6,56.4,0.5,713,411.6,0.2,10.5,156.1
1305,beef tongue cooked,80,6.3,2.3,2.9,0.2,0,0,5.5,0,37.4,29,16.4,0,42,7,72,25,1,0.2,67,0.4,67,74,49,1.4,48,0.7,4.2,30,41,52.1,65,1.2,14.3
1306,lamb heart cooked,353,15.1,6,4.2,1.5,3.7,0,47.7,0,475.6,0.1,122.6,0,0.3,6,51,2.3,8.3,2.6,0.6,13.4,0,0,0,26.7,1.2,10.5,45.8,0.1,485.1,359.1,40,7,117.1
1307,beef spleen cooked,447,12.9,4.3,3.4,1,0,0,77.3,0,1068.80,0.2,215.5,0,0.1,35,60,0.9,17.1,2.7,0.1,154.9,0,0,0,37,2.8,121.2,58.5,0.2,939.4,874.7,0.3,8.6,403.3
1308,veal kidneys cooked,300,10.4,3.2,2.3,2.1,0,0,48.4,0,1455.40,0.2,124.5,0.4,0.3,56,2,3.7,8.5,1.6,0.3,14.7,0,0,0,53.4,0.7,5.6,44.2,0.2,684.5,292.6,0.2,7.8,132.9
1309,chicken heart cooked,268,11.5,3.3,2.9,3.3,0.1,0,38.3,0,350.9,81,94,33,0.1,0.1,34,1.1,4.1,3.8,0.5,2.6,0,0,0,27.6,0.7,13.1,29,0.2,288.6,191.4,27,10.6,93286
1310,lamb tongue cooked,701,51.7,20,25.5,3.2,0,0,55,0,482,0.2,147.5,0,0.2,82,27,1.1,9.4,0.9,0.4,17.9,0,0,0,25.5,0.5,6.7,40.8,76,341.7,402.9,72,7.6,156.8
1311,veal heart cooked,368,13.4,3.6,2.8,3.5,0.3,0,57.7,0,348.5,0.1,123.1,0,0.7,29,48,1.8,9.7,3.3,0.4,19.8,0,0,0,15.8,0.9,8.6,35.6,0.1,495,394,0.1,4.4,115.6
1312,chicken liver cooked,76,2.8,0.9,0.6,0.6,0.5,0,11.3,0,248.2,79,28.7,6,1.9,0.1,0.2,15,1,6.1,3.7,0.4,1.2,0,0.3,0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,52,15238
1313,lamb pancreas cooked,541,34.9,15.8,12.6,1.7,0,0,52.7,0,924,0.1,137.8,0,22,89,26,0.5,5.9,2,0.1,46.2,0,0,0,27.7,0.2,4.9,43.9,49,995.6,672.2,0.1,6.2,166.4
1314,veal spleen cooked,445,10,3.3,2.7,0.7,0,0,83.1,0,1542.20,0.2,245.8,0,0.2,22,51,1,18.4,0,0.2,138,0,0,0,24.2,3.2,25.4,48.3,0.3,1076.40,741.8,0.3,6.6,280.7
1315,lamb liver cooked,739,29.6,11.5,6.2,4.4,8.5,0,102.7,0,1683.40,0.2,190.4,25.2,0.8,0.2,0.3,13.5,40.8,13.3,1.6,13.4,0,0,0,26.9,23.8,27.8,73.9,1.7,1411.20,742.6,0.4,26.5,234.1
1316,turkey gizzard cooked,70,2.1,0.5,0.4,0.3,0,0,11.9,0,203.4,31,31.1,91,30,45,67,0.2,2.9,0.2,27,2.8,0,25,0,7.7,0.1,1.7,9.5,63,84.2,86.9,33,1.8,26231
1317,lamp spleen cooked,460,14.1,4.7,3.7,1,0,0,78.1,0,1135.80,0.2,195.8,0,0.2,62,28,0.9,17.3,0,0.2,76.7,0,0,0,38.4,0.4,114.1,62,0.2,1006.00,731.6,0.1,11.6,321.4
1318,turkey heart cooked,35,1.5,0.4,0.3,0.4,0,0,5,0,71.8,46,13.4,85,70,91,89,0.3,1.6,0.3,0.1,0.6,0,13,0,4.2,0.2,1.4,5.6,17,48.2,40.6,1,0.9,12759
1319,beef liver cooked,130,3.6,1.2,0.4,0.4,3.5,0,19.8,0,269.3,68,40,0.2,6.4,0.1,0.2,10,2.3,11.9,4.8,0.7,1.3,34,0.3,70,4.1,9.7,4.4,14.3,0.2,338,239.4,23,37539
1320,lamb lungs cooked,431,11.8,4,3,1.6,0,0,75.7,0,1082.00,0.3,288.9,0.1,0.1,12,100,0.5,9.3,0,0.2,106.7,0,0,0,45.7,0.9,17.4,41.9,64,716.3,483.9,95,7.4,257.4
1321,pork brain cooked,527,36.3,8.2,6.6,5.6,0,0,46.4,0,9748.60,0.3,289.9,0,0.3,63,31,0.9,12.7,7,0.5,53.5,0,0,0,34.4,1,7,45.8,0.3,840.4,744.9,3,5.7,177.6
1322,goose liver,125,4,1.5,0.8,0.2,5.9,0,15.4,0,484.1,0.1,67.5,8.8,0.5,0.7,22,0.8,6.1,5.8,0.7,4.2,0,0,0,40.4,7.1,28.7,22.6,0,245.3,216.2,67,2.9,107.4
1323,pork kidneys cooked,211,6.6,2.1,2.2,0.5,0,0,35.6,0,672,0.1,96.2,0.1,0.6,98,28,2.2,8.1,4,0.6,14.8,0,0,0,18.2,1,7.4,25.2,0.2,336,200.2,0.4,5.8,82.7
1324,lamb brain cooked,503,35.3,9,6.4,3.6,0,0,43.5,0,7089.20,0.5,262.8,0,0.4,7,88,0.8,8.6,3.4,0.4,41.6,0,0,0,41.6,0.7,5.8,48.6,0.2,1169.40,711.4,66,4.7,167.8
1325,pork heart cooked,215,7.3,1.9,1.7,1.9,0.6,0,34.2,0,320.5,53,98.7,17,0.8,23,0,2.5,8.8,3.6,0.6,2.9,0,0,0,10.2,0.7,8.5,34.8,0.1,258.1,298.7,82,4.5,63745
1326,lamb kidneys cooked,349,9.2,3.1,2,1.7,2.5,0,60.3,0,1440.80,0.4,179.6,0.3,0.9,0.2,0.2,5.3,15.3,5.2,0.3,30.6,0,0,0,45.9,0.9,31.6,51,0.4,739.5,453.9,0.6,9.7,180.4
1327,beef lungs cooked,364,11.2,3.8,2.9,1.5,0,0,61.8,0,839.3,0.3,231.5,95,0.1,62,90,0.4,7.6,1.9,66,99.1,0,0,0,33.3,0.7,16.4,30.3,15,539.3,524.2,0.2,5,221858
1328,veal pancreas cooked,614,35,12,12.1,6.5,0,0,69.8,0,0,0.2,133.7,0,0.4,68,82,1.2,10,0,0.5,14.4,0,0,0,43.2,0.2,5.7,57.6,0.6,1228.80,667.2,98,12.5,168.1
1329,pork liver cooked,584,15.6,5,2.2,3.7,13.3,0,92.1,0,1256.70,0.2,227.7,19.1,0.9,0.6,71,7.8,29.9,16.9,2,83.5,0,0,0,35.4,2.2,63.4,49.6,1.1,853.1,531,0.2,23.8,322.4
1330,beef kidneys cooked,45,1.3,0.3,0.2,0.2,0,0,7.7,0,202.6,29,18.9,0,1,73,13,0.8,1.1,0.4,0.1,0,95,99,0,5.4,0.2,1.6,3.4,7,86,38.2,49,0.8,16.0
1331,turkey giblets cooked,164,6.3,1.6,1,1.5,0,0,25.1,0,495,0.1,63.3,95,4.4,0.2,0.3,63,1.5,8.2,2.2,0.5,0,0,0.1,14,17.1,0.7,3.2,23.8,0.2,236.6,168.2,72,32643
1332,duck liver raw,60,2,0.6,0.3,0.3,1.6,0,8.2,0,226.6,89,31.6,5.3,0.2,0.3,46,0.4,2.9,2.7,0.3,2,0,0,0,4.8,2.6,13.4,10.6,0.1,118.4,101.2,69,1.4,37.3
1333,veal liver cooked,154,5,1.6,0.9,0.9,3,0,22.7,0,408.8,46,47.9,0.2,16.9,0.1,0.3,90,2.3,10.5,5.2,0.7,0.9,0,0.5,43,4.8,12,4.1,16,0.2,368,263.2,43,43638
1334,pork lungs cooked,297,9.3,3.3,2.1,1.1,0,0,49.8,0,1161.00,0.2,240,0,0.2,69,49,1,4.1,2,0.2,23.7,0,0,0,24,0.2,49.2,36,29,558,453,85,7.4,156.0
1335,veal lungs cooked,312,7.9,2.7,2,1.1,0,0,56.2,0,789,0.2,232.8,0,72,32,16,0.4,6.9,0,0.2,102,0,0,0,21,0.7,10.8,24,82,696,426,67,3.6,197.9
1336,beef thymus cooked,1215,95.2,32.8,32.9,17.8,0,0,83.2,0,1120.10,0.4,201.3,0,0.3,58,92,0.9,7,7.5,0.3,115.1,0,0,0,38.1,0.2,5.7,38.1,0.4,1386.80,1649.70,29,8.4,337.3
1337,ham,46,2.5,0.1,1.2,0.2,1,0.3,4.6,0.4,16,0.2,18.8,0,0.2,79,74,94,0.8,0.1,41,1.1,80,76,0,6.7,2,0.3,6.2,0.2,42.8,80.4,63,0.4,16.6
1338,pork meat cooked,283,14.1,4.4,6.8,2.1,0,0,14.1,0,112.6,0.7,79.2,20,0.8,0,44,0.3,11,0.7,0.7,0,95,0,0,10.7,82,0.7,41.5,77,369.8,615.1,48,2.6,39657
1339,bacon roasted,43,3.3,1.1,1.5,0.4,0.1,0,3,0,8.8,34,1,0,37,50,7,81,15,0.9,51,90,0,2,39,97,0.9,96,0.1,2.6,3,42.6,45.2,90,6516
1340,pork top loin roasts raw,3644,182.8,35.1,40.8,14.3,0,0,468.4,0,1404.80,1,1539.60,90,9.4,0,75,4,122.2,15.8,15.8,0,42,2.6,0,153.7,1.2,11.6,526.8,0.2,4741.20,7858.10,0.6,38,816574
1341,pork blade roll raw,76,6.2,2.2,2.8,0.7,0,0,4.7,0,15,0.4,16.7,0,0.2,76,80,89,0.8,0.2,97,14,0,0,0,2,84,0.2,3.7,42,56.3,83.5,78,0.7,13143
1342,pork backribs raw,2399,174.9,61.9,73.5,28.7,0,0,204.2,0,739,0.9,679.8,35,4.9,0,28,3.3,72.6,8.8,4.5,0,25,2.6,0,332,1,8.1,171.4,85,1649.30,2645.40,0.3,27.2,719224
1343,pork spareribs cooked,703,53.6,19.7,23.9,4.8,0,0,51.4,0,214.2,0.2,71.5,65,0.7,22,16,0.7,9.7,1.3,0.6,0,43,0.6,0,83.2,0.3,3.3,42.5,83,462,566.4,92,8.1,191598
1344,pork stomach cooked,44,2.1,0.8,0.6,0.2,29,0,6.1,0,89.4,35,20,0,80,90,67,50,0.4,0.2,38,0,0,87,0,4.2,48,0.3,4.2,15,36.5,24.1,77,0.8,12779
1345,honey smoked ham cooked,67,1.3,0.6,0.9,0.2,4,0,9.9,0,12.1,0.5,38.5,0,0.2,13,91,97,1.3,0.1,0.1,0.3,0,0,0,3.3,39,0.2,4.4,96,211.2,90.8,99,0.5,19.0
1346,boston butt steak raw,844,56.1,19.7,23.6,7.2,0,0,79,0,281.2,0.3,313.8,51,2.4,0,88,1.6,19.2,6.6,2.2,0,28,1,0,72.6,0.4,5.1,90.7,98,861.8,1442.40,0.1,14,212848
1347,pork sirloin chops cooked,140,4.5,1.5,1.8,0.8,0,0,23.3,0,65.6,1,53.9,75,75,0.5,0,70,0.2,6.4,0.8,0.4,0,10,0.1,0,9,12,0.6,20.5,73,238.6,337,43,28239
1348,pork country style ribs raw,242,15.1,3,3.5,1.2,0,0,24.8,0,94.7,61,87.3,9,0.5,0,55,0.3,3.9,2.1,0.7,0,28,0.3,0,28.2,23,1.1,26.9,72,247,407,48,3.6,69223
1349,ham patties,205,18.3,6.6,8.6,2,1.1,0,8.3,0,45.5,0.7,35.4,0,0.3,61,84,0.1,2,0.2,0.1,0,0,0,0,5.2,39,0.7,6.5,64,96.9,155.4,75,1,33.6
1350,pork feet cooked,67,4.5,1.2,2.3,0.4,0,0,6.2,0,30.3,46,17.8,0,80,14,48,29,0.2,47,81,0,0,54,0,0,14,0.3,1.4,17,23.2,9.3,40,0.3,11.0
1351,ground pork cooked,930,65,24.2,29,5.9,0,0,80.4,0,294.2,0.2,165.1,10,2.2,5,58,0.7,13.2,1.6,1.2,2.2,66,0.7,0,68.9,0.1,4,75.1,81,707.4,1133.10,0.1,10,220513
1352,pork centre loin chops cooked,328,17.4,5.5,6.6,2.1,0,0,40.2,0,131.9,65,97.8,0.2,21,0.9,0,59,0.4,12.8,1,1.1,0,89,0.2,0,37.7,0.1,1.2,39.3,5,345.4,540.1,70,59.0
1353,pork leg cap steak cooked,307,8.6,2.6,3.7,1.1,0,0,53.5,0,157.1,0.1,133.3,0,0.9,71,68,0.8,15.9,1.5,0.8,0,0,0.2,0,13.6,0.1,1.9,44.6,61,428.7,710,35,8,77.6
1354,pork blade chops raw,376,15.4,5.2,6.1,2.1,0,0,55.8,0,155.2,0.2,191.6,39,1.4,0,55,0.9,18.7,2.9,1.2,0,67,0.5,0,78.9,0.2,1.9,47.3,59,594.4,823.2,38,7.2,152089
1355,pork tenderloin raw,606,17.8,6,6.8,2.8,0,0,104.3,0,328.3,0.3,378.6,0,5,0,23,1.7,33.4,4.2,3.9,0,75,1.1,0,30.3,0.4,4.9,136.4,98,1227.20,1984.70,0.2,9.4,157.3
1356,pork sirloin chops raw,1090,23.3,8.2,9.9,3.7,0,0,205.5,0,567.6,0.6,669.4,23,5.5,0,83,2.3,66.2,6.6,5.5,0,5,1.5,0,81.1,0.6,5,207.2,94,2261.50,3189.50,0.3,15.5,314931
1357,pork leg cap steak raw,284,7.8,2.7,3.9,1.2,0,0,50,0,145.5,0.2,173.7,0,1.2,4,72,1,16.4,1.9,1.3,0,0,0.2,0,16.2,0.1,1.9,50.8,69,478.2,843.2,9,7.3,75.9
1358,pork carcass raw,1706,159.1,56.4,72.3,17.2,0,0,63.1,0,335.7,0.2,226,7,2.7,2,96,0.9,17.4,2.4,1.3,1.8,0,1.3,0,86.2,0.2,3.1,59,81,703.1,1147.60,0.1,7.2,313327
1359,pork splean cooked,446,9.6,3.2,2.6,0.7,0,0,84.3,0,1507.00,0.3,199.4,0,0.4,2,71,0.8,17.8,2.7,0.2,34.7,0,0,0,38.9,0.4,66.5,44.9,0.1,846.2,678.7,0.1,10.6,234.0
1360,chopped ham,50,2.9,1,1.4,0.4,1.2,0,4.6,0,16.5,0.3,18.3,0,0.2,8,6,35,1.1,0,10,0,25,87,0,2,49,0.2,4.5,0,43.4,89.3,98,0.5,10.9
1361,pork centre loin chops raw,338,18,6,7.1,2.4,0,0,41.2,0,137.3,0.1,138.7,48,1,0,20,0.4,13.2,1.4,1.4,0,62,0.2,0,37.8,0.1,1.3,49.8,96,415.9,682.6,52,3.5,98301
1362,pork blade chops cooked,265,14.6,4.3,5.1,1.9,1.1,0,32.4,0,100.9,72,81.4,69,0.8,0,68,0.3,10.1,1.5,0.7,0,28,0.3,0,10.5,100,1.2,31.4,76,355,533.2,85,3,59882
1363,boston butt steak cooked,494,32.7,12.2,14.8,3.8,0,0,46.4,0,181.3,0.1,101.7,66,0.9,0,64,0.7,7.2,2.4,0.8,0,51,0.2,0,48.1,0.2,3.2,42.6,63,384.8,564.3,40,9,130498
1364,pork meat raw,179,18.6,6.2,7.9,3.7,0,0,2.6,0,20.4,21,7,94,50,0,86,59,0.7,0.1,70,0,55,0.1,0,4,76,70,1.7,0,23.8,94.2,46,0.2,25261
1365,pork top loin chops raw,287,12.8,4.5,5.5,1.6,0,0,39.9,0,124,99,130.2,74,1.2,0,87,0.3,14.8,1.3,1.3,0,89,0.2,0,13,0.1,0.9,48.1,20,418.1,690.1,96,2.9,66684
1366,pork blade steak braised,694,44.7,16.6,20.1,5.3,87,0,68.2,0,256.1,0.4,148.2,0.4,0,1.1,0,100,0.9,9.5,3.5,1.2,0,32,0.3,0,71.3,0.5,4.5,52.8,60,599.3,976.8,0.1,115063
1367,pork boston steaks cooked,438,28.1,10.1,12.5,2.5,0,0,43.2,0,160.6,0.1,96.8,60,1.2,96,46,0.7,6.9,1.2,0.5,0.5,91,0.5,0,60.8,3,2.4,35.5,37,354.9,550.9,60,7.6,135049
1368,bacon cooked,43,3.1,1.1,1.4,0.5,68,0,3.5,0,10.1,0.2,1.9,53,0,31,0,37,66,1,0.1,47,0,0,9,0,1.2,47,0.1,3.1,71,35.4,47.8,64,6747
1369,pickled pork hocks,48,3,0.9,1.5,0.3,0,0,5.4,0,25.2,0.3,19.2,55,56,58,61,66,0.3,20,47,0,0,47,0,5.4,63,0.3,1.7,18,17,13.3,89,0.7,14146
1370,pork boston roast cooked,705,49.4,18.3,21.7,4.6,0,0,60.5,0,225.3,0.2,150.6,61,1.7,84,41,0.9,10.6,1.7,0.6,1.8,29,0.5,0,73.4,0.3,3.8,47.2,52,516.1,869.8,22,10.4,188948
1371,canadian style bacon grilled,43,2,0.7,0.9,0.2,0.3,0,5.7,0,13.6,0.4,14.5,0,0.2,70,30,54,1.6,0.1,0.1,0,48,61,0,2.4,43,0.2,4.9,23,69.6,91.7,58,0.4,10.6
1372,ham steak,70,2.4,0.8,1.1,0.3,0,0,11.1,0,25.7,0.7,41.2,0,0.5,64,80,0.1,2.9,0.4,0.2,18.4,0,0,0,2.3,50,0.6,10.8,11,148.2,185.3,68,1.2,34.8
1373,pork backfat,3683,402.3,146.1,190.3,46.9,0,0,13.2,0,258.6,64,34.9,32,0.4,72,35,0.2,4.5,0.5,0.2,0.5,3,0,0,9.1,94,0.8,9.1,82,172.4,294.8,63,1.7,425932
1374,bacon baked,44,3.5,1.1,1.5,0.4,0.1,0,2.9,0,8.7,0.2,1,0,52,90,95,53,58,0.9,77,84,0,0,38,47,0.8,54,0.1,2.4,78,41,43.7,3,6673
1375,pork arm picnic raw,5298,343.4,113.6,147.3,67.9,0,0,513.6,0,1729.40,2.3,1875.90,0.1,16.1,0,40,6.8,124,27.9,12.1,0,64,5.8,0,329.4,2,15.6,494.1,0.3,5490.00,11336.90,0.6,59,1202.1
1376,salt pork raw,212,22.8,8.3,10.7,2.7,0,0,1.4,0,24.3,0.8,3.1,0,54,11,49,10,0.5,78,48,0,35,0,0,1.7,53,0.1,2,73,14.7,18.7,56,0.3,26.0
1377,pork arm picnic cooked,5292,322.7,109.3,139,62.7,0,0,560.3,0,1936.70,2.2,1351.90,7,9.9,0.1,86,7.3,119.5,27,7.8,0,62,5.9,0,360.3,2.4,20.7,495.4,0.5,5404.80,8039.60,0.7,69.8,1264074
1378,pork top loin chops cooked,270,11.2,4.3,4.9,1.7,0,0,39.4,0,97.2,64,84.3,62,20,0.7,0,67,0.3,13.4,1.4,0.7,0,43,0.3,0,16.2,0.1,1.2,31.1,52,298.4,352.4,79,51481
1379,ground pork raw,329,26.5,9.8,11.8,2.4,0,0,21.1,0,90,33,76.3,34,0.9,55,5,0.3,5.4,0.8,0.5,0.9,0,0,0,17.5,80,1.1,23.8,83,218.8,358.8,39,2.8,67.15
1380,pork shoulder raw,1070,81.6,28.3,36.3,8.7,0,0,77.9,0,322.1,0.3,290.4,87,3.5,77,34,1.2,17.4,3.3,1.6,3.2,25,0.9,0,68,0.4,4.8,81.6,83,825.6,1369.90,0.1,12.2,235572
1381,pork chitterlings cooked,66,5.8,2.7,2,0.3,0,0,3.5,0,78.4,78,19.2,0,0,99,24,56,93,65,59,0,0,0,83,0,7.1,56,0.4,2.5,33,18.7,4,70,9329
1382,pork breakfast strips cooked,52,4.1,1.4,1.9,0.6,0.1,0,3.3,0,11.9,0.2,3,0,39,20,20,73,0.9,0.1,68,0,66,57,0,1.6,54,0.2,2.9,85,29.9,52.7,61,0.4,9.3
1383,pork blade roll roasted,1079,88.3,31.5,41.5,9.4,1.4,0,65,0,251.9,3.7,211.2,0,1.7,32,7,1.1,8.9,2.9,0.8,12,0,0,0,26.3,0.3,3.3,48.9,98,586.6,729.4,0.1,9.2,196.3
1384,pork tail cooked,1089,98.5,34.2,46.4,10.8,0,0,46.8,0,354.8,93,128.4,0,0.2,2,61,0.2,3.1,1.2,0.7,0,0,0,0,38.5,0.2,2.2,19.3,87,129.3,431.8,87,4.5,186.0
1385,pork centre rib roasts raw,275,9.7,3.3,4,1.1,0,0,44,0,113.1,0.1,146.2,0,1,0,94,0.4,13.5,1.5,1.5,0,72,0.3,0,48.5,0.1,1.2,50.5,53,436.3,725.2,50,4,103.4
1386,pork centre rib roasts roasted,1942,114.9,42.6,48.4,19.4,0,0,211.3,0,610.7,0.7,452.3,0.8,41,4.1,0,18,2.3,74.3,11.6,3.8,0,94,1.6,0,148.8,0.7,7.5,164.4,63,1800.90,2129.80,0.3,331.5
1387,minced ham,55,4.3,1.5,2,0.5,0.4,0,3.4,0,14.7,0.3,12,0,0.1,94,59,73,0.9,94,81,0,58,12,0,2.1,29,0.2,3.4,74,33,65.3,48,0.4,10.4
1388,ham roasted,316,21.3,7.1,9.9,2.5,0.6,0,28.7,0,86.8,1.3,85.3,0,1.1,33,54,0.4,7.4,1,0.4,19.6,0,0,0,11.2,0.2,1.9,23.8,84,340.2,499.8,53,3.5,83.3
1389,pork loin raw,232,14.7,5.1,6.6,1.6,0,0,23.1,0,73.7,3,78.3,49,1.1,13,19,0.3,5.4,0.8,0.6,0.7,44,0.2,0,21.1,37,0.9,24.6,66,230.5,416.5,13,2,60563
1390,pork backribs roasted,2564,188.9,68.5,81.6,31,0,0,202,0,737.5,0.8,481.3,1.7,23,4,0,80,2.9,67,11.1,3.6,0,68,2.2,0,403.9,0.9,8.1,149.3,65,1448.70,2107.20,0.3,397.1
1391,pork belly raw,2350,240.5,87.7,112,25.6,0,0,42.4,0,326.6,0.1,166.7,95,1.8,88,75,1.1,21.1,1.2,0.6,1.4,0,1.8,0,22.7,0.2,2.4,18.1,10,489.9,839.2,85,4.6,309486
1392,ham raw,266,18.2,6,8.7,2.1,46,0,23.8,0,54.6,1.5,93.2,0,1.3,21,34,0.3,4.5,0.6,0.7,0,54,0.3,0,8.4,75,1.2,19.6,63,245,442.4,65,2.3,51697
1393,ham extra lean,45,2.3,0.8,1.1,0.3,0.6,0,5.1,0,14.8,0.4,18.7,0,0.2,22,97,28,1.4,0.1,0.1,0,94,40,0,2,75,0.3,5,49,66.1,83.2,41,0.6,10.3
1394,pork feet pickled,635,45.5,13.4,25.8,3.6,29,0,52.8,0,376.5,4.3,340.2,98,31,61,3,85,1,1.2,58,0,10,1,0,145.2,0.2,1.4,49.9,49,394.6,59,3,0.9,245019
1395,pork shoulder cooked,394,28.9,10.6,12.8,2.8,0,0,31.4,0,121.5,1,74,4,0.8,65,7,0.4,5.4,0.8,0.4,0.7,7,0.3,0,32.4,0.2,1.8,24.3,84,286.2,444.2,26,5,95226
1396,pork top loin roasts roasted,1628,74.8,24.1,29.8,8.5,0,0,224.3,0,678.4,0.4,540.7,0.7,11,4.6,0,51,2,60.2,5.7,5.9,0,17,0.9,0,59.4,0.7,5.4,212,52,1891.00,2959.50,0.3,306.4
1397,pork skin,154,8.9,3.2,4.2,1,0,0,17.3,0,26.9,0.5,0.5,37,9,0,36,34,0.4,0.1,96,0.1,0,0.1,0,8.5,33,0.2,3.1,66,24.1,35.9,62,0.2,35.03
1398,pork country style ribs cooked,235,15.2,5.4,6.6,1.8,0,0,22.8,0,88.6,49,46.4,98,0.4,0,16,0.2,4.8,1.2,0.4,0,90,0.1,0,29.2,72,1.2,19.8,25,173.7,247.7,26,3.6,68402
1399,pork blade steak raw,664,43.7,15.4,18.4,5.6,0.6,0,67.6,0,243.7,0.6,276.5,0,1.9,0,10,1.3,14.8,5.6,1.9,0,83,0.8,0,59,0.5,3.8,70.7,0,829.2,1536.60,0.1,11.1,174.7
1400,pork tenderloin cooked,153,6.2,2.2,2.5,0.6,0,0,22.7,0,71.4,91,46.4,17,0.7,51,14,0.3,3.8,0.7,0.4,0.8,0,0,0,3.8,45,1.1,26.6,72,220.4,337.4,82,2.2,34679
1401,pork loin cooked,213,12.1,4.5,5.4,1,0,0,24.2,0,71.2,77,51.9,8,0.6,66,24,0.2,3.9,0.6,0.3,0.5,7,0.2,0,18.7,6,1,16.9,33,161.1,332.9,20,2.1,56575
1402,pork ears cooked,184,12,4.3,5.5,1.3,0.2,0,17.7,0,99.9,0.2,80.6,0,4,0,0,70,0.6,51,66,0,0,0,0,20,86,1.7,7.8,86,26.6,44.4,44,0.2,51.6
1403,pork tongue cooked,626,43,14.9,20.2,4.5,0,0,55.7,0,337.3,0.3,131.4,0,0.7,19,77,1.2,12.3,1.2,0.5,3.9,0,0,0,43.9,0.3,11.5,46.2,54,401.9,547.5,40,10.5,158.0
1404,pork spareribs raw,3593,303.5,97.7,110.8,51.3,0,0,200.6,0,1037.60,1.1,775,0,4.1,0,55,3.3,60.5,8.1,7.4,0,84,4.8,0,194.6,1,11.8,207.5,0.1,1828.80,3138.70,0.3,32.4,710.5
1405,ham patties grilled,205,18.5,6.7,8.8,2,1,0,8,0,43.2,0.6,30.8,0,0.2,34,46,0.1,1.9,0.2,85,0,56,0.3,0,5.4,43,1,6,45,60.6,146.4,28,1.1,33.9
1406,chicken skin roasted,508,45.6,12.8,19.1,9.6,0,0,22.8,0,93,28,45.1,83,21,80,99,0.1,6.3,0.8,0.1,0,26,0.4,32,15.7,34,1.7,16.8,83,140,152.3,0.2,1.4,85844
1407,turkey breast raw,3554,158.9,43.2,60.2,37.6,0,0,495.6,0,1471.60,1.3,1585.90,15,1.3,0.2,4,2.6,117.7,14.1,10.9,0,0,0,0,294.3,1.7,27.2,543.4,0.4,4211.00,6226.00,0.5,35.5,976092
1408,ground turkey raw,169,8.7,2.3,3,2.5,0,0,22.4,0,78.7,47,82.5,41,37,73,80,0.2,7.7,1.1,0.6,0,86,0.1,0,21.7,0.1,1.2,26.2,96,228,270.2,25,2.7,54095
1409,chicken wing cooked,52,3.5,1,1.4,0.8,0,0,4.8,0,14.7,86,13.1,41,36,71,92,97,1,0.1,86,0,22,52,92,2.5,95,0.2,3.4,41,25.4,29.2,92,0.3,11058
1410,turkey roast roasted,209,7.8,2.6,1.6,2.2,4.1,0,28.8,0,71.6,0.9,91.6,0,58,54,79,0.2,8.5,1.1,0.4,0,84,0.5,90,6.8,37,2.2,29.7,66,329.4,402.3,81,3.4,49.7
1411,pheasant meat raw,1448,74.3,21.6,34.6,9.4,0,0,181.6,0,568,0.3,542.2,0.4,0.6,64,15,1.1,51.4,7.4,5.3,42.4,0,0,0,96,0.5,9.2,160,0.1,1712.00,1944.00,0.1,7.7,403.9
1412,chicken back raw,188,17,4.9,7.2,3.6,0,0,8.3,0,46.6,43,34.3,87,22,84,26,63,2.9,0.5,0.1,0.9,0,0.2,30,7.7,66,0.6,8.9,24,66.7,85,9,0.7,34564
1413,chicken back cooked,93,6.5,1.8,2.6,1.4,0,0,8,0,28.1,91,21.9,5,26,35,52,35,1.6,0.3,48,0,84,74,51,6.5,52,0.4,5.8,16,43.2,52.2,55,0.7,21425
1414,chicken leg fried,431,25.5,6.8,10.4,6.1,13.8,0,34.4,0.5,142.2,0.4,82.3,70,0.2,89,56,0.3,8.6,1.6,0.4,0,0,0,0,28.4,0.1,2.2,31.6,43,240.2,298.6,41,3.4,104858
1415,chicken feet cooked,975,66.2,17.8,24.9,13.5,0.9,0,88,0,381,0.3,298.5,0.1,0.3,0.4,11,0.9,1.8,0,52,0,68,1.2,36,399.2,0.5,4.1,22.7,0,376.5,140.6,33,3.1,558.5
1416,turkey steak fried,179,10.8,2.8,4.4,2.8,10.9,0,9.1,0,41,0.5,31.6,92,75,71,88,0.1,1.3,0.3,0.1,0,0,0,0,9,10,1.4,9.6,28,149.8,166.4,13,0.9,41229
